should_ban	comment_text
0	The picture on the article is not of the actor T.R. Knight who is the subject of the article.  Even a basic Google search turns up pictures of the T.R. Knight about which this article is written.  The photo continually being added to the article is, again, not a photo of this article's subject.  Because this photo is not relevant to the subject of the article, it should and will be removed.  Before my edit or those of others who have made the same edit are reverted, please provide a legitimate reason for this image's inclusion in this article.  If a fair-use image of T.R. Knight, the actor and subject of this article, can be found, then by all means it can be added, but random images should not be used as placeholders.
1	Its madness. Shes of Chinese heritage, but JAPANESE! Thats impossible, its like... if some one was of Irish heritage... and was born in America... would that make them... AMERICAN... That would imply that a persons nationality, is biased on where there born, and has little to do with those who came before them... madness
1	Fuck You. Why don't you suck a turd out of my asshole! You think you can handle that, dumbfuck? eh?
1	"God is dead
I don't mean to startle anyone but God is dead. We should not worry about him anymore. Just thought I would let everyone know. Well, goodbye and good luck with your newfound crisis of faith! 24.77.205.229"
1	"THIS USER IS A PLANT FROM BRUCE PERENS AND GROKLAW 

Revoke his rights and ban him  he's an infiltrator."
0	"""

 JSTOR 

Hi there. You're one of the first 100 people to sign up for a free JSTOR account via the requests page. We're ready to start handing out accounts, if you'd still like one. 

JSTOR will provide you access via an email invitation, so to get your account, please email me (swallingwikimedia.org) with...

 the subject line """"JSTOR""""
 your English Wikipedia username  
 your preferred email address for a JSTOR account

The above information will be given to JSTOR to provide you with your account, but will otherwise remain private. Please do so by November 30th or drop me a message to say you don't want/need an account any longer. If you don't meet that deadline, we will assume you have lost interest, and will provide an account to the next person in the rather long waitlist. 

Thank you!  • talk  """
1	It was a lie, a fucking lie.
1	"HA! 

HA! I still continue to edit yet! Serves ya right! Jerk!
173.51.203.228  
p.s. HAHAHAHAHAHAHAHAHA"
0	"""I personally think it was the luckiest goal in NHL history.  (Talk)  

"""
0	I'm no expert, but I think use like that is allowed if the CD or the CD cover is actually discussed within the article text. Another example is the famous Sgt. Pepper's Lonely Hearts Club Band record cover used in the Beatles article.
0	"""==E.E.S.==

Please do not remove the template at the beginning of the page.  If you disagree that it meets the qualifications outlined at WP:SPEEDY, then please follow the instructions and add {{hangon}} to the page and explain why on the article's talk page. — ¿? """
0	"""
My userspace gets alot of vandalism, so I just have my userspace pre-emptively indef semi-protected.

Another question, how would one go about moving some userboxes from their userspace to mainspace (I'm trying to clear out some things) or even to User:UBX? -  • Talk • """
1	"harassment?? 

you know what you don't understand is, i'm not laughing at you, i'm making you realise that you have taken a wrong step, so stop it, you still have time. stop homo-sexual activity, & live a normal life, how sad a parent would be, if he knows his child spent a night doing activities, no one could have imagined before 1950! what you trying to prove! you don't get attracted to girls? because you've satisfied the previous night wasting your precious fluid on an excretory point? you can still change! no late. 

you think this is harassment??"
0	"Your submission at Articles for creation 
 Thank you for submitting an article to Wikipedia. Your submission has been reviewed and has been put on hold pending clarification or improvements from you or other editors. Please take a look and respond if possible. You can find it at Wikipedia talk:Articles for creation/Formal Numbers. If there is no response within twenty-four hours the request may be declined; if this happens feel free to continue to work on the article. You can resubmit it (by adding the text {{subst:AFC submission/submit}} to the top of the article) when you believe the concerns have been addressed. Thank you.  (Talk)"
0	"2006 (UTC)

The linked article is incorrect - the 45% figure refers to European popular (EU citizens) support for Romania's accession. The 70% figure refers to Romanian citizens support for EU accession.   22:49, 18 June"
1	"a sincere question
Why do you do what you do?

slander, harassment and abuse of editors

And you are a mindless dumbass, Geogre. Also a liar. Actually the blatant slanderous crap you all throw out all over the internet about me and so many others is kind of against the law. It also goes against current harassment laws."
0	If Kenny, JFD, and Freedom skies can have their say on IMA, then so can I...
0	Hey, you are preaching to the choir here, dude )  Remember this one?  I couldn't find anything solid about it at the time (except for that NTV gag report).  How tempting it must have been to assume the place is not notable beyond its funny name, eh?  Well, eat this!  The site itself is hardly a reliable source, but it's a very good illustration of what kind of information is available out there.  And every other shabby-Russian-village-population-five is going to have at least as much written about it over the years.  It's not that there are no sources, it's that there are often no easily accessible sources.  What that is so hard to understand to some is beyond me.— • (yo?); May 19, 2010; 21:47 (UTC)
1	You better block me off for a year or forever Fasliy because I hate you and everyone on your stupid site.
1	I will fucking cut your heart out. I will set you on fire motherfucker.
0	"Image

I would like to use the second paragraph as a caption for the image. I'll be working on that as I learn about Infoboxes"
0	"""
I am slowly working on many of the mountains of Washington.  I do one or two a day.
I have identified a list of notable mountains that pages will be created.  One is a list of highest points in each of Washington's 39 counties.  I research if they need disambiguation.  So for Big Horn mountain I had to research whether there were other things called Big Horn - there are tons of them.  As you can see there are hundreds of uses of Big Horn.  If I can, I find newspaper articles relating to the place.   But due to the literally thousands of misspellings of bighorn sheep, businesses and other things like transformer toys and a ship... I have not been able to isolate one article about Big Horn.  Big Horn so far is not notable for much of anything besides being the highest point in Lewis County, Washington.  But I did find a couple of trip reports. 

 Hello 

I have reviewed your editorial review request. Good user, keep up the good work! AQu01rius (  Talk) 

 User:Cheeselor10 

Blocked, thanks.  

 WP:WDEFCON 

Appears fine to me.  

 Penmon, Anglesey 

Hi there.  You may have noticed that I've been adding to the excellent article you created here - a few extra refs and some photographs, plus an infobox as suggested by a reviewer.  (Oh, and I renamed it too!) Can you think of anything else that can be added at the moment?  I would be interested in nominating it for an assessment for Good Article status - I haven't done this before, but it seems to comply with the criteria (or to be nearly there, anyway).  What do you think?   

You baked the cake, I just added the icing!  Fingers crossed...  

 Oh dear... 

This might interest you.  

 Re: (WP:HD) TOTD 

I was wondering about that, too. Wikipedia talk:Tip of the day would be the appropriate place to bring this up, but I don't think it's very active. Other than that, the admin's noticeboard or miscellanious Village Pump may be places to bring it up that would get a faster response.  15:59, 18 May 2007 (TC)

 Penmon revisited 

Hello again.  The GA review picked up various points, some easy to fix, some not.  Anyway, I've had a go and fixing things and I think it could do with your further attention to see whether you can spot anything that I've missed, particularly points 1, 5 and 7.  Then perhaps it'll get its GA badge!  

Great work.  I've renominated it and left a message for our previous reviewer, as he offered to look at it again if nobody else did whilst he was away.   

Good news! I think that means that you and I are entitled to display this  as a reward for our hard work.  Right, where's next?!  

 Re: (User talk:ais523) Importing scripts 

Your monobook.js looks fine, and in fact it worked when I copied it to my account to test. Try bypassing your cache again, and see if it works now.  12:57, 1 June 2007 (TC)

 The Original Barnstar 

  The Original Barnstar I noticed that your fairly new and saw that your edits were impressive and so I've decided to award you this Original barnstar!  (talk) 

== Re: ([[User"
0	"EFFIGY STUDIOS 

Sorry to report this, but according to the Michigan Business Lookup website. Eminem is NOT the owner of Effigy Studios. A Thomas W. Johnson is listed as the owner. 

See here."
1	"SUP NIGGA 

I WUZ JUS CHILLIN WIT MY OG'S ON DA WEST SIDE NIGGA, YO JIGABOO BLOCKED MY CRACKA ASS, DA WU TANG AIN'T NUTTIN TA FUCK WIT BIOTCH"
0	"Request 

Do you have any versions of File:Heterocarpus ensifer.jpg with better resolution? Danke,  brasiliensis"
1	LOADING THAT FUCKING GARBAGE HERE
0	""":Lsi john, I've already invited you to bring this to WP:RFAR.  WP:AN is another standard venue.  If you wish to make claims against me, please substantiate them with adequate evidence.  Per WP:AGF, the burden of proof rests squarely on your shoulders.  I don't believe my actions have been inappropriate. Charge! 

"""
1	"You are a nazi. 

Your defense of the Latin American dictatorships and their killings is awful."
1	"This guy is cool, you are all a bunch of faggy fat kids that live in your mom's basement.  
Hahahaha midgetitis.  Hahahhahahaha"
0	, although if you want to cite a reference you could add a remark about the existence of this criticism
1	"Your blatant POV pushing 

Neither of you guys has made any contribution to this Italian history article other than to shove your unhistorical unconstructive modern POV in my face.
This is a HISTORY article. HISTORY.
Have you heard of that?
This is the reason why so many people get pissed off about the pedantry and idiocy and triviality of Wikipedia.
J*sus. Get a f*cking life."
1	"please 

please don't be a cunt"
1	"WIKIPEDIA AT IT'S FINEST:

99.141.246.39 I want you to cry me a river, build a bridge and get the fuck over it.   Bits andPieces"
1	"Nay, you ARE homophobic and indeed very much so. I have been seeing your ilk for the 40 years of my life: those who pretend to be objective only to push a one-sided oppressive, offensive POV. 

 Moreover, judging by the way you edit to make them appear in the best of lights, you seem to be in the employ of the horrible individual about whom that article is.

 Eventually, if you cannot read English, then your competence in language is obviously quite limited, which is not something I should be concerned about, so kindly abstain from including such off-side nonsense into the discussion."
0	"formating problem 

The value is supposed to be 1777MeV/c2, but the template makes it look like it's three orders of magnitude smaller. I don't know how to correct this.90.179.235.249"
