iмовірно	вероятно
iснує	существует
iспит	экзамен
абияк	как-нибудь
або	или
або	ли
абсолютно	совершенно
абсолютно	совсем
автомобіль	автомобиль
автомобіль	вагон
агов	эй
аґрус	крыжовник
адже	ведь
адміністрація	администрация
адреса	адрес
академік	академик
академія	академия
актор	артист
акуратно	аккуратно
акції	действие
акція	акция
але	же
але	зато
але	но
американець	американец
аналіз	анализ
арешт	арест
аркушів	листы
армія	войско
атрибут	признак
бiлизна	белье
бавовна	хлóпок
багато	гораздо
багато	многие
багато	много
багато	многое
базовий	база
бак	танк
балакун	говорун
батальйон	батальон
батьки	родители
батьків	отцы
батьківщина	родина
батько	отец
бачити	видать
бачити	видеть
безглуздий	бессмысленный
безпека	безопасность
безпосередньо	непосредственно
березень	март
битися	биться
битися	драться
бібліотека	библиотека
біг	бег
біда	беда
білизна	белье
білок	белок
більше	более
більшість	большинство
благати	умолять
благородний	благородный
блиск	блеск
блискучий	блестящий
блищати	блестеть
бож	ибо
бойовик	боец
болісно	больно
борг	долг
боротися	бороться
боротьба	борьба
боягуз	трус
бракувати	недоставать
бригадир	старшина
брови	бровь
бродити	бродить
бруд	грязь
брудно	грязно
брюки	штаны
буде	быть
будильник	тревога
будівля	здание
будівля	строение
будувати	строить
будь-який	любой
бути	найтись
бути	явиться
буша	куст
вiя	ресница
вага	вес
вага	масса
вагітність	беременность
важкий	тяжело
валятися	валяться
вам	тобой
вантажiвка	грузовик
вантажівка	грузовик
вантажний	грузовой
вапняк	известняк
варіант	вариант
вартість	значение
вартість	стоимость
вартість	стоить
ватажок	предводитель
ваш	твой
вбивати	убивать
вбивство	убийство
вбивця	убийца
вважати	считать
ввічливо	вежливо
в	во
вголос	вслух
вгору	вверх
вдавалося	удаваться
ведмідь	медведь
велетень	великан
Великдень	Пасха
величезний	громадный
вересень	сентябрь
версія	версия
вертоліт	вертолет
верховенство	правило
весілля	свадьба
вечеря	ужин
вещій	вещий
взагалi	вообще
взагалі-то	собственно
вибір	выбор
вибори	выборы
вибрати	выбрать
вибратися	выбраться
вибух	взрыв
вивезти	вынуть
вивести	вывести
вивести	вытащить
вивчати	изучать
вигадати	придумать
видавати	выдавать
видавати	выдать
видалити	снимать
визначати	определять
виїхати	выехать
викинути	выбросить
виклик	вызов
виключити	исключить
виключно	исключительно
виконання	исполнение
виконувати	выполнять
використання	использование
використовувати	пользоваться
використовуватися	использоваться
вилучення	исключение
вимовляти	произносить
вимога	требование
виникнення	появление
виняток	исключение
випадковий	случайный
випадково	случайно
випадок	случай
випити	выпить
випити	пить
випробувати	испытать
випускати	выпускать
вираз	выражение
виразно	отчетливо
вирватися	вырваться
вирішити	разрешить
вирішити	решать
вирішуватися	решаться
виробляти	производить
виробництво	производство
вирушати	отправляться
висвітлити	осветить
висловити	выразить
висловлення	высказывание
висновки	выводы
висновок	вывод
висновок	заключение
високо	высоко
висота	высота
виставити	выставить
виставка	выставка
вистачить	довольно
виступ	выступление
витягнути	вытянуть
виховання	воспитание
виходити	исходить
вищезгадане	вышеупомянутое
відбуватися	происходить
відвернутися	отвернуться
відвідувач	посетитель
відгадати	догадаться
відгукнутися	отозваться
відділу	отдел
відірвати	оторвать
відкрити	открывать
відкрити	открыть
відкрити	открыться
відкриття	открытие
відлуння	эхо
відмінність	отличие
відмінно	отлично
відміну	отличие
відмова	отказ
відмовити	отказаться
відмовитися	падать
відмовлятися	отказываться
відносний	родственник
відображати	задуматься
відомості	внимание
від	от
відповідальність	ответственность
відповідати	соответствовать
відповідь	ответ
відпочивати	отдыхать
відпочинок	отдых
відпочити	отдохнуть
відправити	отправить
відправити	послать
відправити	посылать
відправити	прислать
відправити	присылать
відправити	слать
відпустку	отпуск
відро	ведро
відсоток	процент
відстань	даль
відстань	расстояние
відсутність	отсутствие
відходити	отойти
відчай	отчаяние
відчувати	ощущать
відчувати	почувствовать
відчувати	чувствовать
відчути	ощутить
відчуття	ощущение
відчуття	чувство
відьма	ведьма
віза	виза
візит	визит
візок	тележка
війна	война
війн	войны
військовий	военный
вікна	окно
він	он
вірити	полагать
вірші	стихи
вісім	восем
вісімдесят	восемьдесят
вісімсот	восемьсот
вітер	ветер
вітчизняний	отечественный
вічко	глазок
вічно	вечно
вказати	указать
вказівка	указание
вказувати	указывать
включити	включить
вкрай	крайне
влада	власть
власник	владелец
власність	собственность
властивість	свойство
властивості	свойства
влаштовувати	устраивать
влаштуватися	устроиться
вовна	шерсть
вогник	огонек
води	воды
водій	шофер
воїн	воин
володіти	владеть
волосся	волос
вона	она
вони	они
ворог	враг
вороги	враги
ворота	ворот
ворушитися	шевелиться
восени	осень
восьмий	восьмой
впасти	спасть
вперед	вперёд
вперше	впервые
вплив	влияние
вплив	воздействие
враження	впечатление
вразити	поразить
вранці	утро
всередині	внутри
всередину	внутрь
всерйоз	всерьез
все-таки	хоть
все-таки	хотя
всі	весь
вставати	вставать
встигати	успевать
вступити	вступить
втекти	сбежать
втекти	скрыться
втекти	убежать
втомитися	устать
втрата	потеря
втратити	потерять
втратити	терять
вузол	узел
вуха	уши
вчасно	вовремя
вчинок	поступок
вчора	вчера
вчорашній	вчерашний
в'язниці	тюрьма
